id,focus,signal,slack,drag,confidence,score,lane
l001,nonce pressure,35,33,6,25,143,watch
l002,settlement risk,35,34,6,55,175,watch
l003,proof depth,35,35,6,85,207,ship
l004,event finality,35,36,18,25,113,watch
l005,nonce pressure,35,37,18,55,145,watch
l006,settlement risk,35,38,18,85,177,watch
l007,proof depth,35,39,34,25,71,hold
l008,event finality,35,40,34,55,103,watch
l009,nonce pressure,35,41,34,85,135,watch
l010,settlement risk,60,42,6,25,211,ship
l011,proof depth,60,43,6,55,243,ship
l012,event finality,60,44,6,85,275,ship
l013,nonce pressure,60,45,18,25,181,watch
l014,settlement risk,60,46,18,55,213,ship
l015,proof depth,60,47,18,85,245,ship
l016,event finality,60,48,34,25,139,watch
l017,nonce pressure,60,32,34,55,137,watch
l018,settlement risk,60,33,34,85,169,watch
l019,proof depth,85,34,6,25,245,ship
l020,event finality,85,35,6,55,277,ship
l021,nonce pressure,85,36,6,85,309,ship
l022,settlement risk,85,37,18,25,215,ship
l023,proof depth,85,38,18,55,247,ship
l024,event finality,85,39,18,85,279,ship
l025,nonce pressure,85,40,34,25,173,watch
l026,settlement risk,85,41,34,55,205,ship
l027,proof depth,85,42,34,85,237,ship
